endpoint,contrast,model_set,model,term,estimate,std.error,statistic,p.value,rate_ratio,rr_low,rr_high
stomach,0_0p20_vs_0p20_0p50,minimal,Poisson,dose_group1,0.002324219329107692,0.11209680617490278,0.020734037020477204,0.9834578172349354,1.0023269224206395,0.7987472419977126,1.2402260902629199
stomach,0_0p20_vs_0p20_0p50,minimal,Negative binomial,dose_group1,-0.12812671118834618,0.12889446880874508,-0.9940435177126327,0.3202016815255827,0.8797418989404457,0.6752500739070512,1.1347843916066156
stomach,0_0p20_vs_0p20_0p50,adjusted,Poisson,dose_group1,0.06753428478940733,0.11234084418922666,0.6011552189838697,0.5477366076544748,1.0698669391318254,0.8522011097358734,1.3244489042898375
stomach,0_0p20_vs_0p20_0p50,adjusted,Negative binomial,dose_group1,0.0782765480030668,0.11445949031374276,0.6838799280732809,0.49405098962854516,1.0814216823277005,0.8577942014139079,1.3450979795309232
