dose_group,dose_group_label,endpoint,dose_var,contrast,n_strata,total_cases,total_pyr,incidence_rate_per_100k_py,mean_count,var_count,var_mean_ratio,zero_strata,zero_pct,mean_dose,median_dose,min_dose,max_dose
0,0-0.1 Gy,solid,cola02w10,0_0p10_vs_0p10_0p20,2962,4119,669047.7284299985,615.6511448989943,1.3906144496961521,8.343484998885728,5.999854956712675,1768,0.5968939905469277,0.029429807562457798,0.01102,0,0.09854
1,0.1-0.2 Gy,solid,cola02w10,0_0p10_vs_0p10_0p20,1280,305,43890.599369999945,694.9096261566964,0.23828125,0.3958750732994527,1.6613773567977033,1062,0.8296875,0.1479441015625,0.14221,0.10109,0.19914
0,0-0.1 Gy,stomach,stoa02w10,0_0p10_vs_0p10_0p20,2951,1162,669012.1964999986,173.68891121553753,0.39376482548288705,1.0618458551826413,2.69664984392769,2331,0.7899017282277194,0.029913307353439514,0.01123,0,0.0997
1,0.1-0.2 Gy,stomach,stoa02w10,0_0p10_vs_0p10_0p20,1227,83,43478.33481999993,190.89967530637855,0.06764466177669111,0.07453955389276727,1.1019281039328368,1151,0.9380603096984516,0.149340423797881,0.14534,0.10001,0.19995
0,0-0.2 Gy,solid,cola02w10,0_0p20_vs_0p20_0p50,4242,4424,712938.3277999996,620.5305322343482,1.0429042904290418,6.224520494964166,5.968448449285266,2830,0.6671381423856672,0.06519083922677983,0.049240000000000006,0,0.19914
1,0.2-0.5 Gy,solid,cola02w10,0_0p20_vs_0p20_0p50,997,338,48078.672139999944,703.0144239753132,0.3390170511534605,0.5877632898695996,1.7337278106508598,773,0.7753259779338014,0.2967544734202608,0.27515,0.20024,0.48628
0,0-0.2 Gy,stomach,stoa02w10,0_0p20_vs_0p20_0p50,4178,1245,712490.5313199994,174.73916427962126,0.2979894686452851,0.7938719443467666,2.664093962635171,3482,0.8334131163235998,0.06498680469123982,0.04999,0,0.19995
1,0.2-0.5 Gy,stomach,stoa02w10,0_0p20_vs_0p20_0p50,1063,85,48531.00483999997,175.14576564040507,0.07996237064910643,0.08493709839437553,1.0622133599202477,984,0.9256820319849483,0.3003457384760113,0.28224,0.20009,0.49416
