city,sex,un4gy,distcat,agxcat,agecat,dcat,time,subjects,upyr,pyr,gdist,agex,age,year,solid,oralca,lip,tongue,saliv,mouth,pharynx,digestca,esoph,stomach,smallint,colon,rectum,liver,gallbldr,pancr,othdig,respca,nasal,larynx,lung,othres,thymus,skinbone,bone,connect,nmskin,skbasal,sksquam,bowens,breast,femgenca,uterus,utrNOS,cervix,corpus,ovary,othfem,malgenca,prost,testis,othmale,urinca,bladder,kidney,renal,othurin,cnsca,thyroid,othsol,msother,adeno,squam,othepi,othnonepi,histnos,cola02w10,cola02g,cola02n,mara02w10,mara02g,mara02n,braa02w10,brea02w10,liva02w10,liva02g,liva02n,luna02w10,ovaa02w10,pana02w10,skea02w10,skia02w10,stoa02w10,tesa02w10,thya02w10,blaa02w10,utea02w10,trunc02,adjust02,outcome,dose,pyr_used,dose_group,dose_group_label
1,2,1,1,5,12,3,4,0,6.01643,5.52831,2279.894,24.879,55.143,1975.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01064,0.01059,1e-5,0.012,0.0119,1e-5,0.01255,0.01267,0.01129,0.0112,1e-5,0.01189,0.01035,0.01045,0.01161,0.015,0.01091,-0.1,0.01262,0.0107,0.01036,1,1,0,0.01064,5.52831,0,0-0.1 Gy
1,2,1,3,13,18,2,5,0,95.78645,91.86399,20000,61.726,94.201,1978.074,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,91.86399,0,0-0.1 Gy
2,2,1,1,10,12,5,1,21,23.65777,22.35233,1984.877,46.001,59.192,1958.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05179,0.05157,2e-5,0.05951,0.0591,4e-5,0.06049,0.05949,0.05545,0.05512,3e-5,0.05718,0.04973,0.05026,0.05634,0.07153,0.05157,-0.1,0.06093,0.0516,0.05068,1,1,0,0.05179,22.35233,0,0-0.1 Gy
1,2,1,1,5,14,5,8,0,293.24914,270.82438,1847.617,22.849,66.982,1989.728,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,1,1,0,3,1,0,0.0494,0.04878,6e-5,0.05623,0.05496,1.3e-4,0.05873,0.0597,0.05294,0.05198,1e-4,0.05543,0.04808,0.04836,0.05446,0.07166,0.05043,-0.1,0.05922,0.04963,0.04805,1,1,5,0.0494,270.82438,0,0-0.1 Gy
2,1,1,1,3,11,7,7,0,11.85558,7.98058,1859.497,11.119,52.442,1986.929,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08848,0.0878,7e-5,0.09899,0.09787,1.1e-4,0.0923,0.10376,0.09215,0.09118,1e-4,0.09622,-0.1,0.08259,0.09076,0.10992,0.09423,0.09804,0.09917,0.09162,-0.1,1,1,1,0.08848,7.98058,0,0-0.1 Gy
1,2,1,1,10,16,3,4,0,818.30048,784.6847,2284.523,48.057,76.688,1974.229,8,0,0,0,0,0,0,5,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,4,0,1,0.01027,0.01022,1e-5,0.01158,0.01148,1e-5,0.01211,0.01222,0.0109,0.01082,1e-5,0.01147,0.00999,0.01008,0.0112,0.01446,0.01052,-0.1,0.01218,0.01033,0.01,1,1,8,0.01027,784.6847,0,0-0.1 Gy
1,1,1,1,10,13,5,1,42,247.06913,236.63047,1855.096,47.794,61.902,1959.707,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.04941,0.04877,6e-5,0.05631,0.05501,1.3e-4,0.05895,0.05933,0.05231,0.05133,1e-4,0.05574,-0.1,0.04852,0.05451,0.07183,0.05065,0.05228,0.05909,0.04955,-0.1,1,1,2,0.04941,236.63047,0,0-0.1 Gy
1,1,1,2,3,7,2,2,0,2679.03491,2204.39035,4669.574,13.538,31.969,1964.028,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.2e-4,1.2e-4,0,1.4e-4,1.4e-4,0,1.4e-4,1.4e-4,1.3e-4,1.3e-4,0,1.3e-4,-0.1,1.2e-4,1.3e-4,1.7e-4,1.2e-4,1.3e-4,1.4e-4,1.2e-4,-0.1,1,1,1,1.2e-4,2204.39035,0,0-0.1 Gy
1,2,1,1,8,13,3,2,0,5.94661,5.78469,2308.058,39.857,60.131,1965.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00945,0.0094,0,0.01065,0.01056,1e-5,0.01113,0.01123,0.01001,0.00995,1e-5,0.01055,0.00919,0.00928,0.0103,0.01329,0.00968,-0.1,0.01119,0.0095,0.00919,1,1,0,0.00945,5.78469,0,0-0.1 Gy
1,1,1,1,12,16,4,1,0,0.87269,0.81755,2106.46,59.962,75.183,1960.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02552,0.02531,2e-5,0.02882,0.02839,4e-5,0.03024,0.03063,0.02708,0.02676,3e-5,0.02858,-0.1,0.02503,0.02793,0.03644,0.02617,0.02713,0.03038,0.02564,-0.1,1,1,0,0.02552,0.81755,0,0-0.1 Gy
