dose_group,dose_group_label,endpoint,dose_var,contrast,n_strata,total_cases,total_pyr,incidence_rate_per_100k_py,mean_count,var_count,var_mean_ratio,zero_strata,zero_pct,mean_dose,median_dose,min_dose,max_dose
0,0-0.1 Gy,stomach,stoa02w10,0_0p10_vs_0p10_0p20,2951,1162,669012.1964999986,173.68891121553753,0.39376482548288705,1.0618458551826413,2.69664984392769,2331,0.7899017282277194,0.029913307353439514,0.01123,0,0.0997
1,0.1-0.2 Gy,stomach,stoa02w10,0_0p10_vs_0p10_0p20,1227,83,43478.33481999993,190.89967530637855,0.06764466177669111,0.07453955389276727,1.1019281039328368,1151,0.9380603096984516,0.149340423797881,0.14534,0.10001,0.19995
