endpoint,contrast,dose_group_label,n_strata,total_cases,total_pyr,incidence_rate_per_100k_py,zero_pct,var_mean_ratio,mean_dose,median_dose
solid,0_0p10_vs_0p10_0p20,0-0.1 Gy,2962,4119,669047.7,615.651,0.597,6,0.0294,0.011
solid,0_0p10_vs_0p10_0p20,0.1-0.2 Gy,1280,305,43890.6,694.91,0.83,1.661,0.1479,0.1422
stomach,0_0p10_vs_0p10_0p20,0-0.1 Gy,2951,1162,669012.2,173.689,0.79,2.697,0.0299,0.0112
stomach,0_0p10_vs_0p10_0p20,0.1-0.2 Gy,1227,83,43478.3,190.9,0.938,1.102,0.1493,0.1453
solid,0_0p20_vs_0p20_0p50,0-0.2 Gy,4242,4424,712938.3,620.531,0.667,5.968,0.0652,0.0492
solid,0_0p20_vs_0p20_0p50,0.2-0.5 Gy,997,338,48078.7,703.014,0.775,1.734,0.2968,0.2752
stomach,0_0p20_vs_0p20_0p50,0-0.2 Gy,4178,1245,712490.5,174.739,0.833,2.664,0.065,0.05
stomach,0_0p20_vs_0p20_0p50,0.2-0.5 Gy,1063,85,48531,175.146,0.926,1.062,0.3003,0.2822
