dose_level,endpoint,dose_var,n_cells,cases,pyr,rate_per_100k,mean_dose,median_dose,pct_zero_cells,var_mean_ratio
control,solid,cola02w10,2962,4119,669047.72843,615.6511448989929,0.029429807562457798,0.01102,0.5968939905469277,5.999854956712902
moderate,solid,cola02w10,2277,643,91969.27151,699.1465621537355,0.2131017391304348,0.18691,0.8058849363197189,1.7074743007704984
high,solid,cola02w10,1698,358,36971.11447,968.3235280626909,1.1561081625441696,1.111925,0.8315665488810365,1.2647689152398416
control,stomach,stoa02w10,2951,1162,669012.1965,173.68891121553716,0.02991330735343951,0.01123,0.7899017282277194,2.696649843927769
moderate,stomach,stoa02w10,2290,168,92009.33966,182.59015945642753,0.21943590393013102,0.192565,0.9323144104803494,1.081871892487882
high,stomach,stoa02w10,1651,89,36643.867360000004,242.8782942740135,1.1765370926711085,1.14879,0.9497274379164143,1.0815798433775963
