label,sex,sexlab,err,err_lo,err_hi,cases_high
breast,2,female,1.6301622558121465,0.8277732241641909,2.7847985737192364,34
thyroid,1,male,5.429455561161557,1.714817375970092,14.226769645298848,7
thyroid,2,female,2.8563176450421577,1.1184673719715192,6.019785141002127,13
