label,n_cells,cases_treated,excess,excess_lo,excess_hi,rr,rr_lo,rr_hi
solid_full,4660,358,343.3070455726352,237.54946750527884,449.18668572876396,1.5507925047008508,1.3771987521679083,1.7321176626794226
solid_excl_breast_thy,4660,306,248.95533175621298,147.75223094213814,356.4933460209215,1.4274957283839358,1.2514623730744667,1.6110570427624051
