band,err_pyw,pyr,cases,endpoint
<10,1.2961246879071295,166434.51542,372,solid
10-20,1.1373684704768763,183051.61099,733,solid
20-30,0.8264496286036264,113548.13628,719,solid
30-40,0.5439305018529844,115601.90933,1041,solid
40-50,0.300124728465496,85452.93880999999,1049,solid
50-60,0.2629302539681651,34128.69216,465,solid
60+,0.25754732340972025,7801.03991,98,solid
<10,0.4839468585506092,166406.80381,80,stomach
10-20,0.4668865725622457,183046.82192,161,stomach
20-30,0.46297349212010974,113376.7638,159,stomach
30-40,0.4006314332839641,115582.58432,317,stomach
40-50,0.3563439577185427,85354.56888,334,stomach
50-60,0.3439163311318659,34099.57488,161,stomach
60+,0.35351645425470274,7788.94625,39,stomach
<10,0.4121423284865634,166267.28459,23,lung
10-20,0.42005060516126375,178732.73533,62,lung
20-30,0.48895660818664693,110857.6796,64,lung
30-40,0.4855766545489391,113277.92222000001,125,lung
40-50,0.4676030730965727,83497.4832,134,lung
50-60,0.4773289781257972,33256.42033,54,lung
60+,0.4839159012197885,7664.45501,5,lung
<10,0.1599215385135824,166434.51542,58,colon
10-20,0.16797693741398934,183051.61099,75,colon
20-30,0.166687147424115,113548.13628,81,colon
30-40,0.17592475054899395,115601.90933,91,colon
40-50,0.19248791839923943,85452.93880999999,75,colon
50-60,0.1975095139200381,34128.69216,25,colon
60+,0.19876420786212773,7801.03991,5,colon
