sex,err_pyw,err_unw,ear_pyw,cases,pyr,label,sexlab
1,0.9150491228729201,0.723281764679926,396.7073954754514,2137,285566.4019,baseline_cap2_b.1.5,male
2,0.8323825136121767,0.7182616050576356,307.0381497477488,2340,420452.441,baseline_cap2_b.1.5,female
1,0.7701452602519494,0.6200741617836426,332.2080486895391,2147,286443.63435,cap4Gy,male
2,0.9995003438310391,0.896251635819021,389.16856575971775,2357,421856.21338000003,cap4Gy,female
1,0.9442517902076162,0.8547914747145489,580.414862373176,2039,275979.79551,bands_hi1Gy,male
2,1.17938379962853,1.1131116237680463,568.2949908170186,2219,405162.37939,bands_hi1Gy,female
1,0.9003614579288074,0.7139768687881549,383.6023185226338,2022,268938.84496,bands_low.05,male
2,0.8341251000965819,0.7240306409400565,301.78830378975744,2200,395456.97051,bands_low.05,female
