city, sex, un4gy, distcat, agxcat, agecat, dcat, time, subjects, upyr, pyr, gdist, agex, age, year, solid, oralca, lip, tongue, saliv, mouth, pharynx, digestca, esoph, stomach, smallint, colon, rectum, liver, gallbldr, pancr, othdig, respca, nasal, larynx, lung, othres, thymus, skinbone, bone, connect, nmskin, skbasal, sksquam, bowens, breast, femgenca, uterus, utrNOS, cervix, corpus, ovary, othfem, malgenca, prost, testis, othmale, urinca, bladder, kidney, renal, othurin, cnsca, thyroid, othsol, msother, adeno, squam, othepi, othnonepi, histnos, cola02w10, cola02g, cola02n, mara02w10, mara02g, mara02n, braa02w10, brea02w10, liva02w10, liva02g, liva02n, luna02w10, ovaa02w10, pana02w10, skea02w10, skia02w10, stoa02w10, tesa02w10, thya02w10, blaa02w10, utea02w10, trunc02, adjust02
1,1,1,1,7,16,7,6,0,0.14716,0.14089,1646.94,34.702,75.054,1985.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.09547,0.09381,0.00017,0.10847,0.10502,0.00035,0.11456,0.11708,0.10169,0.09907,0.00026,0.10758,-0.1,0.09345,0.1056,0.14126,0.09823,0.10224,0.11496,0.09584,-0.1,1.0,1.0
1,1,1,1,3,5,22,1,1,2.577,2.14195,942.0,10.016,23.711,1959.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2.5732,2.31905,0.02542,3.00602,2.51792,0.04881,3.24293,3.15303,2.42387,2.13327,0.02906,2.88551,-0.08335,2.79119,2.92819,4.10785,2.65985,2.52648,2.67213,2.35068,-0.08335,1.0,0.833
1,1,1,1,4,11,7,5,0,99.1588,86.72924,1710.951,17.777,51.577,1979.397,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0.08904,0.08739,0.00016,0.10073,0.09753,0.00032,0.10576,0.11127,0.09659,0.09397,0.00026,0.10056,-0.1,0.08644,0.0976,0.13142,0.09107,0.0983,0.10655,0.09054,-0.1,1.0,1.0
2,1,1,2,6,14,2,8,0,30.80493,28.61008,5492.531,25.979,69.186,1988.812,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0.00041,0.00041,0.0,0.00046,0.00046,0.0,0.00047,0.00048,0.00043,0.00043,0.0,0.00045,-0.1,0.0004,0.00044,0.00055,0.00042,0.00043,0.00048,0.00041,-0.1,1.0,1.0
1,1,1,1,10,17,5,4,0,0.58042,0.55273,1800.255,49.89,80.146,1975.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.04538,0.04462,8e-05,0.05695,0.05531,0.00016,0.05805,0.04922,0.04974,0.04858,0.00012,0.05519,-0.1,0.04733,0.05571,0.0697,0.04556,0.04367,0.04962,0.04439,-0.1,1.0,1.0
1,1,1,1,9,14,16,3,0,82.16085,78.70024,1153.646,43.204,66.798,1969.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.85345,0.80893,0.00445,0.99169,0.89292,0.00988,1.09916,1.16471,0.92063,0.84764,0.0073,0.98206,-0.09369,0.82323,0.9753,1.45827,0.87465,0.93223,1.09951,0.85781,-0.09369,1.0,0.937
1,2,1,1,4,13,20,7,0,0.98563,0.88467,912.0,18.58,60.493,1987.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1.78321,1.64379,0.01394,2.39975,2.04123,0.03585,2.52469,2.33262,2.19438,1.97942,0.0215,2.21983,1.85081,1.85638,2.20981,3.48107,1.68952,-0.08573,2.33429,1.65603,1.6226,1.0,0.857
1,2,1,1,2,11,1,9,0,100.82546,80.96587,1603.785,6.433,53.408,1992.571,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,1.0,1.0
2,2,1,1,9,18,9,7,0,3.16906,2.90654,1689.658,44.213,85.804,1987.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.13875,0.13778,0.0001,0.15572,0.15411,0.00016,0.16584,0.17449,0.13238,0.13117,0.00012,0.15626,0.13272,0.13602,0.15946,0.19587,0.15847,-0.1,0.1768,0.1499,0.13592,1.0,1.0
1,2,1,1,7,10,13,1,29,127.01369,121.70959,1398.552,33.239,47.283,1959.641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.27777,0.2682,0.00096,0.32376,0.30325,0.00205,0.34476,0.35601,0.29731,0.28228,0.0015,0.31731,0.26885,0.27212,0.31621,0.44218,0.29096,-0.1,0.34595,0.27803,0.26855,1.0,1.0
2,1,1,1,10,16,5,4,0,20.97467,19.11988,2033.847,48.074,76.534,1974.067,2,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0.04633,0.04616,2e-05,0.05311,0.0528,3e-05,0.05458,0.05354,0.04851,0.04827,2e-05,0.05168,-0.1,0.04628,0.051,0.06473,0.04806,0.04803,0.05451,0.04682,-0.1,1.0,1.0
2,1,1,1,11,15,8,3,0,9.72758,9.10735,1960.689,51.298,73.347,1967.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.11954,0.11896,6e-05,0.13397,0.13291,0.00011,0.14192,0.13453,0.1279,0.12703,9e-05,0.13309,-0.1,0.11657,0.12664,0.16281,0.11641,0.12486,0.13992,0.12435,-0.1,1.0,1.0
2,2,1,1,7,12,13,4,0,49.91376,46.44575,1583.425,31.627,58.512,1972.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.27481,0.27216,0.00026,0.30812,0.30336,0.00048,0.32017,0.33192,0.29466,0.29088,0.00038,0.30001,0.2668,0.27131,0.29935,0.38875,0.28143,-0.1,0.33185,0.28161,0.26839,1.0,1.0
1,1,1,1,2,8,14,5,0,232.19986,180.74205,1353.305,6.304,38.339,1977.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.39217,0.3718,0.00204,0.44896,0.41001,0.0039,0.4391,0.46425,0.40483,0.37569,0.00291,0.42214,-0.09974,0.3791,0.42401,0.55345,0.40174,0.40038,0.426,0.38559,-0.09974,1.0,0.997
